3,2,718.30,262.78,40.68,76.52,0.77,-1,-1,-1
3,3,256.31,481.50,44.02,106.46,0.77,-1,-1,-1
3,4,154.12,244.59,36.77,67.67,0.77,-1,-1,-1
3,5,765.45,514.31,41.51,113.33,0.75,-1,-1,-1
3,6,819.68,218.84,54.97,65.16,0.77,-1,-1,-1
3,7,488.12,215.40,29.92,65.17,0.75,-1,-1,-1
3,8,1.71,194.65,37.62,66.35,0.77,-1,-1,-1
3,9,503.11,249.44,23.92,72.58,0.75,-1,-1,-1
3,10,8.46,160.91,28.02,70.82,0.71,-1,-1,-1
4,1,167.02,316.61,43.18,81.24,0.77,-1,-1,-1
4,2,718.38,261.00,38.46,77.97,0.77,-1,-1,-1
4,3,251.32,481.62,40.86,106.26,0.77,-1,-1,-1
4,4,151.11,243.16,41.02,68.60,0.76,-1,-1,-1
4,5,758.14,518.16,40.75,109.68,0.75,-1,-1,-1
4,6,814.46,219.33,52.31,64.10,0.77,-1,-1,-1
4,7,481.45,214.38,30.06,64.18,0.75,-1,-1,-1
4,9,494.89,249.52,25.50,72.73,0.75,-1,-1,-1
5,1,163.71,316.84,41.07,80.53,0.76,-1,-1,-1
5,2,718.41,260.15,33.38,78.34,0.76,-1,-1,-1
5,3,248.51,481.95,35.08,105.57,0.77,-1,-1,-1
5,4,143.91,241.87,40.95,70.45,0.76,-1,-1,-1
5,5,748.42,521.73,42.93,106.98,0.74,-1,-1,-1
5,6,807.75,219.31,50.30,64.15,0.77,-1,-1,-1
5,7,477.94,213.33,26.73,64.07,0.75,-1,-1,-1
5,9,486.74,250.54,25.80,71.27,0.75,-1,-1,-1
6,1,161.43,316.40,37.11,80.99,0.76,-1,-1,-1
6,2,714.73,257.94,32.84,79.63,0.75,-1,-1,-1
6,3,244.38,482.52,31.83,105.21,0.75,-1,-1,-1
6,4,137.31,240.66,41.08,70.86,0.77,-1,-1,-1
6,5,736.96,523.95,46.29,107.13,0.75,-1,-1,-1
6,6,810.51,218.94,39.66,63.43,0.76,-1,-1,-1
6,7,474.52,210.99,23.04,65.23,0.75,-1,-1,-1
6,9,479.03,251.44,29.62,70.60,0.76,-1,-1,-1
7,1,160.72,316.74,30.35,80.79,0.76,-1,-1,-1
7,2,707.76,256.64,34.36,80.79,0.76,-1,-1,-1
7,3,239.60,483.51,31.57,104.28,0.77,-1,-1,-1
7,4,131.84,240.08,44.05,69.76,0.77,-1,-1,-1
7,5,730.17,524.42,44.89,108.71,0.74,-1,-1,-1
7,6,806.10,218.64,36.21,65.89,0.75,-1,-1,-1
7,7,468.17,209.83,22.65,66.16,0.74,-1,-1,-1
7,9,469.82,251.92,32.92,70.46,0.76,-1,-1,-1
8,1,156.18,318.16,27.65,79.57,0.74,-1,-1,-1
8,2,700.07,256.37,36.61,80.11,0.76,-1,-1,-1
8,3,230.54,484.23,33.04,105.64,0.74,-1,-1,-1
8,4,125.67,239.99,49.24,69.21,0.78,-1,-1,-1
8,5,725.69,525.61,39.98,111.18,0.76,-1,-1,-1
8,6,800.16,217.89,35.47,66.96,0.75,-1,-1,-1
8,7,460.64,208.43,23.54,65.98,0.74,-1,-1,-1
